no,ans5,pans5,rea5,prea5,evi5,pevi5,text5,point5
11,ตอบตุลา ถึงมีนาคม,0,เพราะจากกราฟแสดงให้เห็นอุณหภูมิ,0,จากข้อมูลสังเกตุได้จากกราฟอุณหภูมิ,0,ตอบตุลา ถึงมีนาคมเพราะจากกราฟแสดงให้เห็นอุณหภูมิจากข้อมูลสังเกตุได้จากกราฟอุณหภูมิ,0
12,ตอบธันวาคม มกราคม,1,เพราะเป็นช่วงที่ซีกโลกเหนืออุณหภูมิต่ำ,0,จากข้อมูลช่วงธันวากับมกรากราฟลง,1,ตอบธันวาคม มกราคมเพราะเป็นช่วงที่ซีกโลกเหนืออุณหภูมิต่ำจากข้อมูลช่วงธันวากับมกรากราฟลง,2
13,ตอบธ.ค.-มี.ค.,1,เพราะเเกนโลกเอียง23.5องศาเเละโคจรรอบดวงอาทิตย์,2,จากข้อมูลช่วงปลายมีนา อุณหภูมิสูงขึ้น,0,ตอบธ.ค.-มี.ค.เพราะเเกนโลกเอียง23.5องศาเเละโคจรรอบดวงอาทิตย์จากข้อมูลช่วงปลายมีนา อุณหภูมิสูงขึ้น,3
14,ตอบประมาณมีนาคม,0,เพราะซีกโลกเหนือไกลพระอาทิตย์ที่สุด,0,จากข้อมูลจากรูปส่วนใหญ่ในช่วงนี้พระอาทิตย์ส่องไปทางขั้วโลกใต้ ทำให้ซีกโลกเหนือไม่ค่อยโดยแสงและได้รับความร้อนน้อยกว่าปกติ,2,ตอบประมาณมีนาคมเพราะซีกโลกเหนือไกลพระอาทิตย์ที่สุดจากข้อมูลจากรูปส่วนใหญ่ในช่วงนี้พระอาทิตย์ส่องไปทางขั้วโลกใต้ ทำให้ซีกโลกเหนือไม่ค่อยโดยแสงและได้รับความร้อนน้อยกว่าปกติ,2
15,ตอบธันวาถึกุมภา,1,เพราะเนื่อจากโลกเอียงเมื่อโลกโคจรไปจุดที่ซีกโลกเหนือเอียงออกจากดวงอาทิตย์ทำให้อุณหภูมิของซีกโลกเหนือลดลง,2,จากข้อมูลจากกราฟเห็นได้ว่าช่วงธันวาถึงกุมภารับเเสงได้น้อยที่สุด,2,ตอบธันวาถึกุมภาเพราะเนื่อจากโลกเอียงเมื่อโลกโคจรไปจุดที่ซีกโลกเหนือเอียงออกจากดวงอาทิตย์ทำให้อุณหภูมิของซีกโลกเหนือลดลงจากข้อมูลจากกราฟเห็นได้ว่าช่วงธันวาถึงกุมภารับเเสงได้น้อยที่สุด,5
16,ตอบมกราคม ธันวาคม,1,เพราะเป็นช่วงที่ซีกโลกเหนือได้รับผลกระทบจากรังสีของดวงอาทิตย์น้อยที่สุด เพราะรังสีดวงอาทิตย์ตั้งฉากกับซีกโลกใต้ในช่วงเวลานั้น,2,จากข้อมูลจากภาพ ช่วงธันวาคมซีกโลกเหนือไม่ได้ตั้งฉากกับดวงอาทิตย์โดยตรง,1,ตอบมกราคม ธันวาคมเพราะเป็นช่วงที่ซีกโลกเหนือได้รับผลกระทบจากรังสีของดวงอาทิตย์น้อยที่สุด เพราะรังสีดวงอาทิตย์ตั้งฉากกับซีกโลกใต้ในช่วงเวลานั้นจากข้อมูลจากภาพ ช่วงธันวาคมซีกโลกเหนือไม่ได้ตั้งฉากกับดวงอาทิตย์โดยตรง,4
17,ตอบพฤศจิกายน-กุมภาพันธ์,0,เพราะหันออกจากดวงอาทิตย์,0,จากข้อมูลมีอุณหภูมิต่ำ,0,ตอบพฤศจิกายน-กุมภาพันธ์เพราะหันออกจากดวงอาทิตย์จากข้อมูลมีอุณหภูมิต่ำ,0
18,ตอบธันวา มกรา กุมภา,1,เพราะแสงอาทิตย์ส่องไม่ถึงเนื่องจากโลกเอียง,0,จากข้อมูลเดือนมกราแสงอาทิตย์สองที่ 25ºS มากที่สุด,0,ตอบธันวา มกรา กุมภาเพราะแสงอาทิตย์ส่องไม่ถึงเนื่องจากโลกเอียงจากข้อมูลเดือนมกราแสงอาทิตย์สองที่ 25ºS มากที่สุด,1
19,ตอบช่วงมกรา กุมภาพันธ์ มีนาคมและธันวา,1,เพราะแสงที่ถูกส่องจากดวงอาทิตย์ไม่ค่อยโดน,0,จากข้อมูลเพราะบริเวณขั้วโลกเหนือไม่ตั้งฉากกับแสงดวงอาทิตย์,0,ตอบช่วงมกรา กุมภาพันธ์ มีนาคมและธันวาเพราะแสงที่ถูกส่องจากดวงอาทิตย์ไม่ค่อยโดนจากข้อมูลเพราะบริเวณขั้วโลกเหนือไม่ตั้งฉากกับแสงดวงอาทิตย์,1
20,ตอบOct - Feb,0,เพราะเนื่องจากในเดือนดังกล่าวมีแสงตั้งฉากกับพื้นผิวโลกในทางซีกโลกใต้,1,จากข้อมูลจากกราฟแสดงจุดละติจูดที่แสงตั้งฉากกับพื้นผิวโลก ซึ่งจะทำให้เกิดความร้อนขึ้นในละติจูดนั้นๆ,0,ตอบOct - Febเพราะเนื่องจากในเดือนดังกล่าวมีแสงตั้งฉากกับพื้นผิวโลกในทางซีกโลกใต้จากข้อมูลจากกราฟแสดงจุดละติจูดที่แสงตั้งฉากกับพื้นผิวโลก ซึ่งจะทำให้เกิดความร้อนขึ้นในละติจูดนั้นๆ,1
21,ตอบธันวา-มีนา,1,เพราะแกนโลกจะออกห่างจากดวงอาทิตย์มากที่สุดพอดี,0,จากข้อมูลธันวา-มีนา กราฟมีการเอียงมากที่สุด,0,ตอบธันวา-มีนาเพราะแกนโลกจะออกห่างจากดวงอาทิตย์มากที่สุดพอดีจากข้อมูลธันวา-มีนา กราฟมีการเอียงมากที่สุด,1
22,ตอบพฤศจิกายนถึงกุมภาพันธ์,0,เพราะโลกหันออกจากดวงอาทิตย์,0,จากข้อมูลโลกหันออกจากดวงอาทิตย์ก็เลยเกิดฤดูหนาว,0,ตอบพฤศจิกายนถึงกุมภาพันธ์เพราะโลกหันออกจากดวงอาทิตย์จากข้อมูลโลกหันออกจากดวงอาทิตย์ก็เลยเกิดฤดูหนาว,0
23,ตอบพฤศจิกายน ธันวาคม มกราคม,0,เพราะดวงอาทิตย์ส่องลงหัวทางใต้,0,จากข้อมูลตำแหน่งของดวงอาทิตย์เหนือหัวแต้ละเดือน,0,ตอบพฤศจิกายน ธันวาคม มกราคมเพราะดวงอาทิตย์ส่องลงหัวทางใต้จากข้อมูลตำแหน่งของดวงอาทิตย์เหนือหัวแต้ละเดือน,0
24,ตอบOct-Mar,0,เพราะดวงอาทิตย์ดวงอาทิตย์ตั้งฉากกับซีกโลกใต้ทำให้ซีกโลกเหนือหนาว,1,จากข้อมูลโลกเอียงทำให้ตอนหมุนโลกเอียงแตกต่างกัน,1,ตอบOct-Marเพราะดวงอาทิตย์ดวงอาทิตย์ตั้งฉากกับซีกโลกใต้ทำให้ซีกโลกเหนือหนาวจากข้อมูลโลกเอียงทำให้ตอนหมุนโลกเอียงแตกต่างกัน,2
25,ตอบธันวาคม มกราคม กุมภาพันธ์ มีนาคม,1,เพราะเกิดจากการที่แกนโลกเอียง 23.5°,1,จากข้อมูลโลกเอียงที่ประมาณ 23.5 องศา ทำให้ในช่วงเวลานั้นซีกโลกเหนือหันออกจากดวงอาทิตย์ ส่งผลให้ได้รับแสงแดดน้อยลง สังเกตจากกราฟ,1,ตอบธันวาคม มกราคม กุมภาพันธ์ มีนาคมเพราะเกิดจากการที่แกนโลกเอียง 23.5°จากข้อมูลโลกเอียงที่ประมาณ 23.5 องศา ทำให้ในช่วงเวลานั้นซีกโลกเหนือหันออกจากดวงอาทิตย์ ส่งผลให้ได้รับแสงแดดน้อยลง สังเกตจากกราฟ,3
26,ตอบพฤศจิกาถึงกุมพาพันท์,0,เพราะแกนโลกเอียงออกจากดวงอาทิตย์,1,จากข้อมูลสั่งเกตจากภาพ ก,0,ตอบพฤศจิกาถึงกุมพาพันท์เพราะแกนโลกเอียงออกจากดวงอาทิตย์จากข้อมูลสั่งเกตจากภาพ ก,1
27,ตอบพฤศจิกายน - กุมภาพันธ์,0,เพราะ แกนโลกเอียงออกจากดวงอาทิตย์,1,จากข้อมูลสังเกตจากภาพ ก,0,ตอบพฤศจิกายน - กุมภาพันธ์เพราะ แกนโลกเอียงออกจากดวงอาทิตย์จากข้อมูลสังเกตจากภาพ ก,1
28,ตอบปลายธันวาคม มกราคม กุมภาพันธ์ มีนาคม,1,เพราะ จากกราฟ เห็นว่าอุณหภูมิของซีกโลกเหนือลดลง และค่อยๆเพิ่มขึ้น จนถึงปลายมีนาคม,0,จากข้อมูลเห็นว่าอุณหภูมิของซีกโลกเหนือลดลง และค่อยๆเพิ่มขึ้น จนถึงปลายมีนาคม,2,ตอบปลายธันวาคม มกราคม กุมภาพันธ์ มีนาคมเพราะ จากกราฟ เห็นว่าอุณหภูมิของซีกโลกเหนือลดลง และค่อยๆเพิ่มขึ้น จนถึงปลายมีนาคมจากข้อมูลเห็นว่าอุณหภูมิของซีกโลกเหนือลดลง และค่อยๆเพิ่มขึ้น จนถึงปลายมีนาคม,3
29,"ตอบเดือนธันวาคม, มกราคม, กุมภาพันธ์",1,เพราะซีกโลกเหนือเอียงออกจากดวงอาทิตย์ ทำให้ได้รับแสงน้อยลง,1,"จากข้อมูล
กราฟแสดงว่าดวงอาทิตย์อยู่ใกล้เส้น Tropic of Capricorn ทำให้ซีกโลกเหนือได้รับพลังงานน้อย",2,"ตอบเดือนธันวาคม, มกราคม, กุมภาพันธ์เพราะซีกโลกเหนือเอียงออกจากดวงอาทิตย์ ทำให้ได้รับแสงน้อยลงจากข้อมูล
กราฟแสดงว่าดวงอาทิตย์อยู่ใกล้เส้น Tropic of Capricorn ทำให้ซีกโลกเหนือได้รับพลังงานน้อย",4
30,ตอบธันวา - มีนา,1,เพราะดวงอาทิตย์ทำมุมตั้งฉากกับบริเวณในซีกโลกใต้ ทำให้ซึกโลกเหนือได้รับพลังงานความร้อนน้อย จึงเป็นช่วงฤดูหนาว,1,จากข้อมูลจากกราฟ จะเห็นได้ว่าในช่วงเดือนดังกล่าว ดวงอาทิตย์ตั้งฉากกับซีกโลกใต้,2,ตอบธันวา - มีนาเพราะดวงอาทิตย์ทำมุมตั้งฉากกับบริเวณในซีกโลกใต้ ทำให้ซึกโลกเหนือได้รับพลังงานความร้อนน้อย จึงเป็นช่วงฤดูหนาวจากข้อมูลจากกราฟ จะเห็นได้ว่าในช่วงเดือนดังกล่าว ดวงอาทิตย์ตั้งฉากกับซีกโลกใต้,4
31,ตอบพฤศจิกายน ธันวาคม มกราคม กุมภาพันธ์,0,เพราะอยู่ในช่วงที่โคจรไปตำแหน่งที่ไม่ค่อยโดนแสงอาทิตย์,1,จากข้อมูลจากกราฟการตกกระทบตั้งฉากของดวงอาทิตย์ ตรงช่วงเวลาดังกล่าว พระอาทิตย์ไปตั้งฉากที่บริเวณอีกฟากนึงของโลก(ซีกโลกใต้),2,ตอบพฤศจิกายน ธันวาคม มกราคม กุมภาพันธ์เพราะอยู่ในช่วงที่โคจรไปตำแหน่งที่ไม่ค่อยโดนแสงอาทิตย์จากข้อมูลจากกราฟการตกกระทบตั้งฉากของดวงอาทิตย์ ตรงช่วงเวลาดังกล่าว พระอาทิตย์ไปตั้งฉากที่บริเวณอีกฟากนึงของโลก(ซีกโลกใต้),3
32,ตอบธันวา มกรา กุมภา,1,เพราะแสงอาทิตย์ส่องไม่ถึงเนื่องจากโลกเอียง,0,จากข้อมูลเดือนมกราแสงอาทิตย์สองที่ 25ºS มากที่สุด,0,ตอบธันวา มกรา กุมภาเพราะแสงอาทิตย์ส่องไม่ถึงเนื่องจากโลกเอียงจากข้อมูลเดือนมกราแสงอาทิตย์สองที่ 25ºS มากที่สุด,1
33,ตอบมีนาคม มิถุนายน กันยายน ธันวาคม,0,เพราะแสงงอาทิตย์ส่งคลื่นมาตรงกับเดือนเหล่านี่พอดี,0,จากข้อมูลแสงงอาทิตย์ส่งคลื่นไปยังโลกในเดื่อนเหล่านี้,0,ตอบมีนาคม มิถุนายน กันยายน ธันวาคมเพราะแสงงอาทิตย์ส่งคลื่นมาตรงกับเดือนเหล่านี่พอดีจากข้อมูลแสงงอาทิตย์ส่งคลื่นไปยังโลกในเดื่อนเหล่านี้,0
34,ตอบตุลา-มีนา,0,เพราะจากกราฟตุลา-มีนา ซีกโลกเหนือได้รับพลังงานน้อย,0,จากข้อมูลจากกราฟตุลา-มีนา ซีกโลกเหนือได้รับพลังงานน้อย,1,ตอบตุลา-มีนาเพราะจากกราฟตุลา-มีนา ซีกโลกเหนือได้รับพลังงานน้อยจากข้อมูลจากกราฟตุลา-มีนา ซีกโลกเหนือได้รับพลังงานน้อย,1
35,"ตอบม.ค.-มี.ค. , ต.ค.-ธ.ค.",0,เพราะโลกจะหมุนทำให้ซีหฦฏโลกใต้ได้รับแสงอาทิตย์,0,จากข้อมูลตำแหน่งของดวงอาทิตย์เหนือหัวแต้ละเดือน,0,"ตอบม.ค.-มี.ค. , ต.ค.-ธ.ค.เพราะโลกจะหมุนทำให้ซีหฦฏโลกใต้ได้รับแสงอาทิตย์จากข้อมูลตำแหน่งของดวงอาทิตย์เหนือหัวแต้ละเดือน",0
36,ตอบม.ย./พ.ค./มิ.ย./ก.ค./ส.ค.,0,เพราะพลังงานที่โลกได้รับอยู่ที่ละติจูดเหนือ,0,จากข้อมูลจากเส้นกราฟช่วงเดือนม.ย.ถึงส.ค. อยู่ฝั่งเหนือ,0,ตอบม.ย./พ.ค./มิ.ย./ก.ค./ส.ค.เพราะพลังงานที่โลกได้รับอยู่ที่ละติจูดเหนือจากข้อมูลจากเส้นกราฟช่วงเดือนม.ย.ถึงส.ค. อยู่ฝั่งเหนือ,0
37,ตอบApr may jun jul aug sep,0,เพราะเหนือเส้นศูนย์สูตร,0,จากข้อมูลธันวา-มีนา กราฟมีการเอียงมากที่สุด,0,ตอบApr may jun jul aug sepเพราะเหนือเส้นศูนย์สูตรจากข้อมูลธันวา-มีนา กราฟมีการเอียงมากที่สุด,0
38,ตอบเดือน Jan Fab Mar,0,เพราะเป็นฤดูกาลของโลก,0,จากข้อมูลกราฟแสดงให้เห็นถึงฤดูกาลต่างในแต่ละเดือน,0,ตอบเดือน Jan Fab Marเพราะเป็นฤดูกาลของโลกจากข้อมูลกราฟแสดงให้เห็นถึงฤดูกาลต่างในแต่ละเดือน,0
39,ตอบธ.ค. ถึงมี.ค.,1,เพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์,2,จากข้อมูลอุณหภูมิในช่วงนี้ต้ำที่สุดของปี,0,ตอบธ.ค. ถึงมี.ค.เพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์จากข้อมูลอุณหภูมิในช่วงนี้ต้ำที่สุดของปี,3
40,ตอบตุลา-มีนา,0,เพราะ จากกราฟ เห็นว่าอุณหภูมิของซีกโลกเหนือลดลง และค่อยๆเพิ่มขึ้น จนถึงปลายมีนาคม,0,จากข้อมูลจากกราฟ จะเห็นได้ว่าในช่วงเดือนดังกล่าว ดวงอาทิตย์ตั้งฉากกับซีกโลกใต้,2,ตอบตุลา-มีนาเพราะ จากกราฟ เห็นว่าอุณหภูมิของซีกโลกเหนือลดลง และค่อยๆเพิ่มขึ้น จนถึงปลายมีนาคมจากข้อมูลจากกราฟ จะเห็นได้ว่าในช่วงเดือนดังกล่าว ดวงอาทิตย์ตั้งฉากกับซีกโลกใต้,2
41,ตอบธันวา-มีนา,1,เพราะฤดูหนาวในซีกโลกเหนือเกิดขึ้นเนื่องจากโลกมีการเอียงทำมุม 23.5 องศากับแกนการหมุนรอบดวงอาทิตย์ ในช่วงเดือนธันวาคมถึงกุมภาพันธ์ ซีกโลกเหนือจะเอียงออกห่างจากดวงอาทิตย์ ทำให้ได้รับพลังงานแสงอาทิตย์น้อยลง อุณหภูมิในพื้นที่จึงลดลงและเกิดเป็นฤดูหนาว,2,จากข้อมูลเดือนมกราแสงอาทิตย์สองที่ 25ºS มากที่สุด,0,ตอบธันวา-มีนาเพราะฤดูหนาวในซีกโลกเหนือเกิดขึ้นเนื่องจากโลกมีการเอียงทำมุม 23.5 องศากับแกนการหมุนรอบดวงอาทิตย์ ในช่วงเดือนธันวาคมถึงกุมภาพันธ์ ซีกโลกเหนือจะเอียงออกห่างจากดวงอาทิตย์ ทำให้ได้รับพลังงานแสงอาทิตย์น้อยลง อุณหภูมิในพื้นที่จึงลดลงและเกิดเป็นฤดูหนาวจากข้อมูลเดือนมกราแสงอาทิตย์สองที่ 25ºS มากที่สุด,3
42,ตอบDec Jan Mar,1,เพราะแกนโลกเอียงและโคจรรอบดวงอาทิตย์,2,จากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,1,ตอบDec Jan Marเพราะแกนโลกเอียงและโคจรรอบดวงอาทิตย์จากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,4
43,"ตอบเดือนที่ตรงกับฤดูหนาวในซีกโลกเหนือ ได้แก่ ธันวาคม (December), มกราคม (January), และ กุมภาพันธ์ (February)",1,เพราะเเกนโลกเอียง23.5องศาเเละโคจรรอบดวงอาทิตย์,2,จากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,1,"ตอบเดือนที่ตรงกับฤดูหนาวในซีกโลกเหนือ ได้แก่ ธันวาคม (December), มกราคม (January), และ กุมภาพันธ์ (February)เพราะเเกนโลกเอียง23.5องศาเเละโคจรรอบดวงอาทิตย์จากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว",4
44,ตอบธันวา มกรา กุมภา,1,เพราะแสงงอาทิตย์ส่งคลื่นมาตรงกับเดือนเหล่านี่พอดี,0,จากข้อมูลโลกเอียงที่ประมาณ 23.5 องศา ทำให้ในช่วงเวลานั้นซีกโลกเหนือหันออกจากดวงอาทิตย์ ส่งผลให้ได้รับแสงแดดน้อยลง สังเกตจากกราฟ,1,ตอบธันวา มกรา กุมภาเพราะแสงงอาทิตย์ส่งคลื่นมาตรงกับเดือนเหล่านี่พอดีจากข้อมูลโลกเอียงที่ประมาณ 23.5 องศา ทำให้ในช่วงเวลานั้นซีกโลกเหนือหันออกจากดวงอาทิตย์ ส่งผลให้ได้รับแสงแดดน้อยลง สังเกตจากกราฟ,2
45,ตอบธันวาคม มกราคม กุมภาพันธ์ มีนาคม,1,เพราะเป็นฤดูกาลของโลก,0,จากข้อมูลสังเกตจากภาพ ก,0,ตอบธันวาคม มกราคม กุมภาพันธ์ มีนาคมเพราะเป็นฤดูกาลของโลกจากข้อมูลสังเกตจากภาพ ก,1
46,ตอบตุลา-มีนา,0,เพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์,2,"จากข้อมูล
กราฟแสดงว่าดวงอาทิตย์อยู่ใกล้เส้น Tropic of Capricorn ทำให้ซีกโลกเหนือได้รับพลังงานน้อย",2,"ตอบตุลา-มีนาเพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์จากข้อมูล
กราฟแสดงว่าดวงอาทิตย์อยู่ใกล้เส้น Tropic of Capricorn ทำให้ซีกโลกเหนือได้รับพลังงานน้อย",4
47,ตอบธ.ค. ถึงมี.ค.,1,เพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์,2,จากข้อมูลอุณหภูมิในช่วงนี้ต้ำที่สุดของปี,0,ตอบธ.ค. ถึงมี.ค.เพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์จากข้อมูลอุณหภูมิในช่วงนี้ต้ำที่สุดของปี,3
48,ตอบมีนาคม มิถุนายน กันยายน ธันวาคม,0,เพราะอยู่ในช่วงที่โคจรไปตำแหน่งที่ไม่ค่อยโดนแสงอาทิตย์,1,"จากข้อมูล
กราฟแสดงว่าดวงอาทิตย์อยู่ใกล้เส้น Tropic of Capricorn ทำให้ซีกโลกเหนือได้รับพลังงานน้อย",2,"ตอบมีนาคม มิถุนายน กันยายน ธันวาคมเพราะอยู่ในช่วงที่โคจรไปตำแหน่งที่ไม่ค่อยโดนแสงอาทิตย์จากข้อมูล
กราฟแสดงว่าดวงอาทิตย์อยู่ใกล้เส้น Tropic of Capricorn ทำให้ซีกโลกเหนือได้รับพลังงานน้อย",3
49,ตอบOct - Feb,0,เพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์,2,จากข้อมูลจากเส้นกราฟช่วงเดือนม.ย.ถึงส.ค. อยู่ฝั่งเหนือ,0,ตอบOct - Febเพราะโลกเอียง ทำให้ซีกโลกเหนือหันออกจากดวงอาทิตย์จากข้อมูลจากเส้นกราฟช่วงเดือนม.ย.ถึงส.ค. อยู่ฝั่งเหนือ,2
50,ตอบDec Jan Feb Mar,1,เพราะซีกโลกเหนือได้รับแสงอาทิตย์ลดลง,1,จากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,1,ตอบDec Jan Feb Marเพราะซีกโลกเหนือได้รับแสงอาทิตย์ลดลงจากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,3
51,ตอบDec-Mar,1,เพราะซีกโลกเหนือได้รับแสงอาทิตย์ลดลง,1,จากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,1,ตอบDec-Marเพราะซีกโลกเหนือได้รับแสงอาทิตย์ลดลงจากข้อมูลแสงอาทิตย์ตั้งฉากในซีกโลกไต้ช่วงเดือนดังกล่าว,3
